"","yearmonth","quarter","year","city","female1","female2","female3","female4","female5","female6","female7","female8","totalfemale","male1","male2","male3","male4","male5","male6","male7","male8","totalmale","totalcitypop"
"53","2015-09",3,2015,"Brejning",46,44,210,97,205,538,225,47,1412,35,62,238,101,192,542,224,34,1428,2840
"54","2015-09",3,2015,"Børkop",105,117,456,167,478,845,393,116,2677,127,168,504,166,447,789,332,84,2617,5294
"55","2015-09",3,2015,"Egtved",33,31,139,62,171,360,232,141,1169,23,42,156,78,170,382,205,75,1131,2300
"56","2015-09",3,2015,"Gadbjerg",19,14,62,18,58,121,48,24,364,18,13,47,20,75,130,60,19,382,746
"57","2015-09",3,2015,"Give",59,87,276,169,334,763,467,231,2386,64,69,315,195,326,713,391,139,2212,4598
"58","2015-09",3,2015,"Givskud",10,16,34,29,44,97,52,19,301,17,9,43,21,59,107,54,12,322,623
"59","2015-09",3,2015,"Gravens/Ågård",15,22,91,42,84,229,95,38,616,12,24,127,65,86,249,93,24,680,1296
"60","2015-09",3,2015,"Grejs",21,21,107,39,72,179,83,14,536,18,26,112,42,67,168,68,14,515,1051
"61","2015-09",3,2015,"Gårslev",20,15,76,39,80,189,93,19,531,15,35,86,38,71,193,100,15,553,1084
"62","2015-09",3,2015,"Jelling",48,50,286,169,264,555,264,127,1763,48,66,281,185,210,577,227,71,1665,3428
"63","2015-09",3,2015,"Jerlev",11,17,56,23,55,117,53,10,342,12,18,41,31,58,116,58,5,339,681
"64","2015-09",3,2015,"Ny Højen",6,10,63,27,56,122,53,15,352,13,20,54,39,50,114,63,7,360,712
"65","2015-09",3,2015,"Nørup",7,14,58,31,56,114,57,18,355,19,15,48,36,61,117,58,9,363,718
"66","2015-09",3,2015,"Skibet",32,45,200,75,151,371,150,17,1041,24,47,219,76,116,347,150,17,996,2037
"67","2015-09",3,2015,"Skærup",9,10,36,20,40,95,44,3,257,12,11,25,18,41,88,47,1,243,500
"68","2015-09",3,2015,"Smidstrup",8,14,66,23,69,121,36,38,375,11,15,75,28,65,130,39,17,380,755
"69","2015-09",3,2015,"Thyregod",19,26,107,58,120,207,85,46,668,29,26,98,56,133,225,92,25,684,1352
"70","2015-09",3,2015,"Vandel",10,17,61,26,69,129,48,19,379,17,12,54,32,70,140,55,12,392,771
"71","2015-09",3,2015,"Vonge",9,6,47,31,51,101,43,12,300,9,6,30,29,57,116,40,7,294,594
"72","2015-09",3,2015,"Ødsted",21,29,117,47,123,242,102,28,709,28,37,119,56,109,258,97,18,722,1431
"73","2015-12",4,2015,"Vejle",827,944,3376,3007,5106,9064,4149,1576,28049,906,962,3567,3083,5474,8691,3548,896,27127,55176
"74","2015-12",4,2015,"Andkær",4,3,22,13,28,64,12,2,148,4,4,30,15,24,66,17,3,163,311
"75","2015-12",4,2015,"Bredal",11,15,62,10,57,110,33,8,306,6,25,65,23,44,118,27,4,312,618
"76","2015-12",4,2015,"Bredsten",25,28,157,47,114,290,113,58,832,19,26,173,69,102,293,116,34,832,1664
"77","2015-12",4,2015,"Brejning",45,48,214,99,205,542,225,44,1422,38,61,241,101,195,548,227,35,1446,2868
"78","2015-12",4,2015,"Børkop",97,120,456,172,463,849,409,115,2681,124,167,514,179,441,802,338,84,2649,5330
"79","2015-12",4,2015,"Egtved",31,33,139,61,172,360,231,142,1169,21,43,155,83,169,380,209,77,1137,2306
"80","2015-12",4,2015,"Gadbjerg",19,12,62,15,58,121,48,24,359,18,15,46,19,78,133,62,20,391,750
"81","2015-12",4,2015,"Give",58,83,276,176,329,763,472,227,2384,62,70,303,197,326,714,393,137,2202,4586
"82","2015-12",4,2015,"Givskud",10,13,30,29,43,98,53,19,295,17,8,42,21,60,106,52,13,319,614
"83","2015-12",4,2015,"Gravens/Ågård",13,22,95,42,85,231,98,39,625,14,20,133,58,88,251,96,22,682,1307
"84","2015-12",4,2015,"Grejs",20,19,104,41,72,180,83,14,533,17,25,115,43,66,168,68,15,517,1050
"85","2015-12",4,2015,"Gårslev",22,14,79,42,79,191,93,17,537,14,30,92,35,74,191,103,14,553,1090
"86","2015-12",4,2015,"Jelling",48,56,291,169,269,555,267,127,1782,49,70,280,181,217,577,229,70,1673,3455
"87","2015-12",4,2015,"Jerlev",11,17,55,25,52,120,52,11,343,11,16,42,32,58,120,56,6,341,684
"88","2015-12",4,2015,"Ny Højen",5,10,63,24,51,119,56,14,342,10,20,55,38,50,114,62,6,355,697
"89","2015-12",4,2015,"Nørup",5,15,54,32,56,117,55,19,353,17,18,47,34,61,115,59,10,361,714
"90","2015-12",4,2015,"Skibet",31,44,197,79,149,367,148,18,1033,25,47,217,79,117,349,151,14,999,2032
"91","2015-12",4,2015,"Skærup",10,9,37,20,40,94,44,3,257,9,8,26,19,42,87,49,1,241,498
